text,label
The house they bought was in a quiet neighborhood.,0
"They bought a house, it was in a quiet neighborhood.",1
He received a gift which he cherished forever.,0
"He received a gift, he cherished it forever.",1
They attended a concert which featured their favorite band.,0
"They attended a concert, it featured their favorite band.",1
She met a friend who introduced her to salsa dancing.,0
"She met a friend, he introduced her to salsa dancing.",1
They visited a city where they discovered hidden gems.,0
"They visited a city, they discovered hidden gems there.",1
He adopted a dog who became his loyal companion.,0
"He adopted a dog, he became his loyal companion.",1
The book that he read some days ago was captivating.,0
"He read a book some days ago, it was captivating.",1
We attended a conference where we gained valuable insights.,0
"We attended a conference, we gained valuable insights there.",1
She bought a car which she drove cross-country.,0
"She bought a car, she drove it cross-country.",1
They went to a restaurant where they sampled exotic cuisine.,0
"They went to a restaurant, they sampled exotic cuisine there.",1
He joined a gym which helped him improve his fitness.,0
"He joined a gym, it helped him improve his fitness.",1
The house that they rented was fully furnished.,0
"They rented a house, it was fully furnished.",1
She received an email which contained exciting news.,0
"She received an email, it contained exciting news.",1
I met a woman who offered me a job.,0
"I met a woman, she offered me a job.",1
They visited a friend who lived in the countryside.,0
"They visited a friend, he lived in the countryside.",1
She spoke with someone who tried to scam her.,0
"She spoke with someone, they tried to scam her.",1
The movie that he watched last night was a thriller.,0
"The movie, he watched it last night, was a thriller.",1
We attended a party where we met interesting people.,0
"We attended a party, we met interesting people there.",1
She bought a phone which had a great camera.,0
"She bought a phone, it had a great camera.",1
They visited a museum who hosted a special exhibit.,0
"They visited a museum, it hosted a special exhibit.",1
He joined a club who organized community events.,0
"He joined a club, it organized community events.",1
The place we went to was in a bad shape.,0
"We went to a place, it was in a bad shape.",1
She received an invitation which included a plus one.,0
"She received an invitation, it included a plus one.",1
